Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1912,10,31,17,24,,1,1,6.9,0,7,138,,1,,0,,,,,,,,,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS
1912,12,6,,,,1,1,,0,,,,1,,0.5,,,,,,,,,"MICRONESIA, FED. STATES OF","YAP ISLANDS, CAROLINE ISLANDS"
1913,2,22,1,6,,3,1,6.8,0,-41.8,171.5,1.5,4,0.6,0.5,,,,,,1,,,NEW ZEALAND,TASMAN SEA
1913,3,14,8,45,4.3,-1,4,7.8,0,5.354,126.121,,1,,,138,,,,,2,,,INDONESIA,SANGIHE ISLAND
1913,6,9,,,,2,8,,0,39.314,-74.525,,1,,,,,,,,1,,,USA,"LONGPORT, NJ"
1913,7,28,6,40,,1,1,7,0,-16.6,-73.3,,1,,,,,,,,,,,PERU,S. PERU
1913,8,6,22,14,24,2,1,7.9,0,-17,-74,,0,,,,,,,,3,,,PERU,S. PERU
1913,10,2,4,23,28,2,3,6.7,0,7.1,-80.6,,2,,,,,,,,1,,,PANAMA,OFF COAST
1913,10,11,4,6,3,4,1,7,0,-7,148,0.1,1,-3.3,,,,,,,,,,PAPUA NEW GUINEA,SOLOMON SEA
1913,12,11,,,,2,0,,0,,,4.5,1,,,,,,,,,,,USA,"SANTA BARBARA, S. CALIFORNIA"
1914,1,12,9,28,,4,4,7.1,2,31.58,130.67,3,1,1.6,-1,63,,,112,19,3,2268,,JAPAN,SEIKAIDO
1914,1,12,,,,2,1,,0,-12,-76.6,1,2,,1.5,,,,,,,,,PERU,CENTRAL PERU
1914,1,15,4,28,,1,1,,0,43.5,10.2,,0,,2,,,,,,,,,ITALY,LIGURIAN SEA
1914,2,26,4,58,12,1,1,7.2,0,-17,-72,,1,,,,,,,,,,,PERU,S. PERU
1914,3,14,,,,-1,0,,0,,,,0,,,,,,,,,,,INDONESIA,INDONESIA
1914,5,26,14,22,47.7,4,1,8.1,0,-1.829,136.943,0.1,5,1.5,2,,,,,,2,,,INDONESIA,NW. IRIAN JAYA
1914,5,,,,,2,0,,0,48.958,-62.133,,4,,,,,,,,,,,CANADA,GULF OF SAINT LAWRENCE
1914,6,25,19,7,25.9,2,1,7.6,0,-3.924,101.82,,1,,,20,,,20,,1,,,INDONESIA,INDONESIA
1914,10,6,19,15,,4,3,,0,-37.8,178.2,,0,,,1,,,,,2,,,NEW ZEALAND,"TOLAGA BAY, NORTH ISLAND"
1914,11,27,14,39,46,1,3,6.3,0,38.8,20.6,3,1,1.7,4,14,,,,,3,,,GREECE,IONIAN SEA
1914,12,3,,,,2,0,,0,-3.7,128.2,,0,,0,,,,,,,,,INDONESIA,AMBON ISLAND
1915,1,27,1,9,56,2,1,6.6,0,38.4,20.6,,0,,,,,,,,,,,GREECE,IONIAN SEA
1915,2,11,,,,1,9,,0,-14.18,-169.66,2.4,1,,,3,,,,,,,,USA TERRITORY,"MANUA ISLANDS, AMERICAN SAMOA"
1915,5,23,,,,1,1,,0,-3.644,133.695,0.5,1,,0,,,,,,,,,INDONESIA,KAIMANA
1915,8,7,15,4,3,3,1,6.7,0,38.5,20.7,1.5,2,,3,,,,,,3,,,GREECE,IONIAN SEA
1915,8,,,,,1,1,,0,,,,0,,,,,,,,,,,PAPUA NEW GUINEA,"HUON GULF, SOLOMON SEA"
1915,9,7,1,20,48,1,1,7.9,0,14,-89,,1,,0.5,,,,,,,,,EL SALVADOR,EL SALVADOR
1915,11,1,7,23,43,4,1,7.8,0,38.3,142.9,1,3,,0.5,,,,,,1,,,JAPAN,SANRIKU
1915,11,6,,,,2,1,6,0,-1,136,,1,,0,,,,,,,,,INDONESIA,NW. IRIAN JAYA
1915,11,18,20,19,18,3,1,6.4,0,18,119.5,,1,,0.5,,,,,,1,,,PHILIPPINES,W. LUZON ISLAND
1916,1,1,13,20,49.3,3,1,7.9,0,-4.739,152.548,,1,1.5,2,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1916,1,31,,,,1,1,,0,,,,0,2.2,,,,,,,,,,COSTA RICA,COSTA RICA-PANAMA
1916,4,26,2,21,52,4,1,7,0,9.6,-82,1.3,6,,,,,,,0.025,1,,,PANAMA,BOCAS DEL TORO
1916,7,3,23,21,41,4,1,5.1,0,38.817,15.233,10,3,,4,,,,,,1,,,ITALY,STROMBOLI ISLAND
1916,8,16,7,6,,4,1,5.9,0,43.967,12.667,,0,,2,,,,,,,,,ITALY,CENTRAL ADRIATIC
1916,11,12,,,,2,1,,0,10.46,-67.77,,1,,,,,,,,,,,VENEZUELA,OCUMARE DE LA COSTA DE ORO
1917,1,9,,,,1,0,,0,1.57,122.72,,1,,2,,,,,,,,,INDONESIA,CELEBES SEA
1917,1,20,23,11,34,3,1,6.6,0,-7,116,2,2,1,,1500,,,,,2,,,INDONESIA,BALI SEA
1917,1,25,,,,3,1,6.5,0,24.47,118.08,,2,1,1,,,,,,1,,,CHINA,SOUTH CHINA SEA
1917,1,30,2,45,36,2,1,7.8,0,56.5,163,,0,,,,,,,,,,,RUSSIA,KAMCHATKA
1917,1,31,3,39,55,3,1,6.4,0,6,125,1.5,1,0.6,,7,,,2,,2,,,PHILIPPINES,CELEBES SEA
1917,1,,,,,1,0,,0,-0.25,104.5,,0,,1.5,,,,,,,,,INDONESIA,LINGA ARCHIPELAGO
1917,3,16,,,,2,0,,0,-3.7,116.6,1.5,2,,1,,,,,,2,,,INDONESIA,JAVA SEA
1917,5,1,18,27,,4,1,8,0,-29.2,-177,0.3,6,3.6,3,,,,,,,,,NEW ZEALAND,KERMADEC ISLANDS
1917,5,6,12,19,,4,1,5.8,0,23.2,121.6,0.5,1,-1,-0.5,,,,,,,,,TAIWAN,TAIWAN
1917,6,26,5,49,42,4,1,8.3,1,-15.5,-173,12.2,17,3.6,3,2,,,,,2,,,SAMOA,SAMOA ISLANDS
1917,7,29,21,52,31,2,1,7.5,0,-3.705,141.729,0.9,1,,1,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1917,8,16,,,,3,8,,0,58.204,-134.147,2.4,1,,,1,,,,,1,,,USA,"TAKU INLET, JUNEAU, AK"
1917,8,23,,,,2,0,,0,-3.6,128.7,,1,,0.5,,,,,,,,,INDONESIA,BANDA SEA
1917,9,1,,,,2,0,,0,,,1.9,1,,,,,,,,1,,,FRENCH POLYNESIA,MAUPIHAA
1917,11,16,3,19,28,2,1,7.5,0,-29,-177.5,2.5,1,1.3,1,,,,,,,,,NEW ZEALAND,KERMADEC ISLANDS
1917,12,6,13,4,,4,10,,0,44.633,-63.583,7,5,,,2000,,,9000,,,,,CANADA,"HALIFAX, NOVA SCOTIA"
1918,2,13,6,7,13,3,3,7.5,0,23.5,117.2,,1,1,-1,2000,,,,,4,,,CHINA,GUANGDONG PROVINCE
1918,5,20,17,55,10,2,1,7.9,0,-28.5,-71.5,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1918,7,18,2,30,,1,6,,0,3.138,125.491,0.08,2,,0,,,,,,,,,INDONESIA,SULAWESI
1918,8,14,,,,0,1,5.5,0,26.9,103,,1,,,,,,,,1,,,CHINA,YUNNAN PROVINCE
1918,8,15,12,18,12,4,1,8.3,0,5.5,123,7.2,10,2.8,2.5,52,,,,,3,,,PHILIPPINES,CELEBES SEA
1918,9,7,17,16,,4,1,8.2,0,45.5,151.5,12,22,3.6,3,23,,,7,,2,,19,RUSSIA,S. KURIL ISLANDS
1918,10,11,14,14,42,4,3,7.1,4,18.7,-67.189,6.1,21,2.6,,144,,,,4,2,,,USA TERRITORY,PUERTO RICO: MONA PASSAGE
1918,10,25,3,43,,3,1,6.4,0,18.441,-67.214,,2,,,,,,,,,,,USA TERRITORY,PUERTO RICO
1918,11,8,4,38,,4,1,7.8,0,44.5,151.5,0.5,8,1,2,,,,,,,,,RUSSIA,S. KURIL ISLANDS
1918,12,4,11,47,48,4,1,7.8,0,-26,-71,5,4,2.3,2.5,,,,,,3,,,CHILE,NORTHERN CHILE
1918,,,,,,1,6,,0,63.63,-19.05,,0,,,,,,,,1,,,ICELAND,ICELAND
1919,1,1,1,33,42,1,1,7.4,0,8,126,0.44,3,-0.1,,,,,,,,,,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES"
1919,1,1,2,59,57,1,1,8.3,0,-19.6,-176.6,0.4,0,,,,,,,,,,,TONGA,TONGA ISLANDS
1919,1,,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1919,2,13,,,,2,0,,0,-9,124.85,,1,,1.5,,,,,,1,,,INDONESIA,TIMOR SEA
1919,4,3,,,,1,6,,0,3.138,125.491,5,0,,,,,,,,1,,,INDONESIA,SULAWESI
1919,4,9,,,,-1,0,,0,,,,1,,,,,,,,,,,USA,HAWAII
1919,4,29,,,,-1,1,,0,-19,-172.6,,0,,,,,,,,,,,TONGA,TONGA ISLANDS
1919,4,30,7,17,17.3,4,1,8.1,1,-18.352,-172.515,2.5,9,1.3,1.5,,,,,,,,,TONGA,TONGA ISLANDS
1919,5,6,19,41,13,3,1,8.2,0,-4.806,153.859,,2,2.6,1,,,,,,1,,,PAPUA NEW GUINEA,SOLOMON SEA
1919,5,22,17,45,,4,6,,0,38.789,15.213,0.75,5,,4,4,,,,,1,10,,ITALY,STROMBOLI ISLAND
1919,6,29,23,14,13.4,3,1,6.6,0,12.33,-88.291,,2,,,,,,,,,,,NICARAGUA,GULF OF FONSECA
1919,8,19,,,,0,1,,0,10.6,-71.6,,1,,,,,,,,2,,,VENEZUELA,LAGO DE MARACAIBO
1919,10,2,,,,4,7,,0,19.23,-155.9,4.3,3,,2,,,,,,1,,,USA,"ALIKA, HAWAII"
1919,10,22,6,6,,-1,1,5.6,0,41.4,12.6,,0,,,,,,,,,,,ITALY,TYRRHENIAN SEA
1919,11,21,,,,1,1,,0,-2.55,140.75,,1,,,,,,,,1,,,INDONESIA,NW. IRIAN JAYA
1919,12,26,,,,1,1,,0,44,33,,0,,,,,,,,,,,UKRAINE,CRIMEA
1920,1,29,,,,1,1,,0,0.87,122.92,2,2,1,1,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1920,2,2,11,22,18,1,1,7.7,0,-6.5,150,,1,,,,,,,,1,,,PAPUA NEW GUINEA,SOLOMON SEA
1920,8,20,16,15,38,3,1,7,0,-38,-73.5,1.4,1,0.5,1,,,,,,2,,,CHILE,CENTRAL CHILE
1920,8,,,,,-1,1,,0,-15,-170,,1,,,,,,,,,,,USA TERRITORY,"PAGO PAGO, AMERICAN SAMOA"
1920,9,20,14,39,,3,1,7.8,0,-19.919,168.53,,2,1,,,,,,,1,,,VANUATU,VANUATU ISLANDS
1920,12,16,12,5,53,0,1,7.8,0,36.7,104.9,0.75,4,,,,,,,,,,,CHINA,CHINA: GANSU AND SHANXI PROVINCES
1920,12,18,2,1,57,1,1,5.6,0,40.5,19.5,,1,,5,,,,,,3,,,ALBANIA,ALBANIAN COASTS
1921,5,14,11,17,45,2,1,6.2,0,0.7,117.9,1,1,,0.5,,,,,,2,,,INDONESIA,MAKASSAR STRAIT
1921,8,4,,,,3,1,,0,40.13,124.38,,0,,,,,,,,2,,,CHINA,"XIAOSI, DANDONG, LIAONING"
1921,9,11,4,1,38,4,1,7.5,0,-11,111,0.1,3,-2.3,-2,,,,,,,,,INDONESIA,JAVA
1921,11,11,18,36,8,3,1,7.5,0,8,127,,4,0.5,1,,,,,,1,,,PHILIPPINES,PHILIPPINE TRENCH
1921,12,16,,,,-1,9,,0,,,,1,,0,,,,,,,,,USA,HAWAII
1922,1,6,14,11,2,2,1,7.2,0,-16.5,-73,,0,,,,,,,,,,,PERU,S. PERU
1922,1,19,21,58,58.5,3,1,6.9,0,-7.111,143.53,1.8,1,,,,,,,,1,,,PAPUA NEW GUINEA,BISMARCK SEA
1922,2,22,,,,1,1,,0,-3.3,128.9,,1,,0.5,,,,,,,,,INDONESIA,BANDA SEA
1922,2,27,20,39,50,2,1,6.3,0,10.2,124.1,0.7,3,-0.5,0,5,,,,,2,,,PHILIPPINES,CEBU ISLAND
1922,3,1,9,10,23,2,1,6,0,9,123.25,,1,,0.5,,,,,,2,,,PHILIPPINES,SULU SEA
1922,4,10,,,,1,1,,0,-1,100.35,,1,,0,,,,,,,,,INDONESIA,SW. SUMATRA
1922,5,2,,,,2,0,,0,,,0.64,1,,,,,,,,,,,USA,GULF OF MEXICO
1922,7,8,,,,1,1,,0,5.5,95.2,,1,,0,,,,,,,,,INDONESIA,"LHOKNGA, ACEH"
1922,8,8,3,49,6,2,1,5.6,0,37.5,23.2,,0,,,,,,,,,,,GREECE,AEGEAN SEA
1922,9,1,19,16,6,1,1,7.6,0,24.5,122,,1,,,5,,,7,,2,139,,TAIWAN,TAIWAN
1922,10,22,,,,1,0,,0,,,,1,,,,,,,,,,,AUSTRALIA,TASMAN SEA
1922,11,7,23,0,9,2,1,7,0,-28,-72,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1922,11,11,4,32,36,4,1,8.7,0,-28.553,-70.755,9,36,3.2,2.5,700,,,,,3,,,CHILE,NORTHERN CHILE
1922,12,25,3,33,10,3,1,6.3,0,-43,173,0.4,3,,0,,,,,,,,,NEW ZEALAND,SE. NEW ZEALAND
1923,1,22,9,4,18,0,1,7.2,0,40.8,-124.5,0.1,1,-2,,,,,,,1,,,USA,N. CALIFORNIA
1923,2,3,16,1,41,4,1,8.3,1,54,161,8,21,3,,3,,,,1.5,2,,,RUSSIA,KAMCHATKA
1923,2,17,,,,3,0,,0,-35.33,-72.42,1.5,1,0.6,1.5,,,,,,,,,CHILE,CENTRAL CHILE
1923,3,2,16,48,52,3,1,7.2,0,6.5,124,,1,,0.5,,,,,,,,,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES"
1923,3,4,,,,1,0,,0,-26.3,-80.1,35,1,,4,,,,,,,,,CHILE,SAN FELIX ISLAND
1923,4,13,15,31,2,4,1,7.2,1,56.5,162.5,20,11,4.9,3.5,18,,,,,3,,,RUSSIA,KAMCHATKA
1923,5,4,22,26,45,-1,1,7,0,-28.75,-71.75,,0,,,,,,,,2,,,CHILE,NORTHERN CHILE
1923,5,7,,,,-1,1,,0,,,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1923,6,1,17,24,0,4,1,7.3,0,35.4,141.8,0.4,1,-1.3,-1.5,,,,,,,,,JAPAN,"KASHIMA, JAPAN"
1923,7,18,2,24,19,1,1,5.5,0,9.3,125,,1,0.5,1,,,,,,,,,PHILIPPINES,"BUTUAN, SULU SEA"
1923,8,6,,,,1,0,,0,40.6,-73.5,,1,,,2,,,,,,,,USA,"ROCKAWAY BEACH, NY"
1923,8,12,,,,2,1,,0,-18.5,-70.3,,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1923,8,,,,,1,0,,0,,,,0,,1.5,,,,,,2,,,KOREA,KOREA
1923,9,1,2,58,37,4,1,7.9,1,35.1,139.5,13,140,3.6,3,142807,43476,4,47000,600,4,695000,,JAPAN,SAGAMI BAY
1923,9,2,2,46,40,4,1,7.7,0,34.9,140.2,0.3,6,-1.7,-1.5,,,,,,,,,JAPAN,RYUKYU ISLANDS
1923,9,4,,,,-1,9,,0,,,6.1,1,,,,,,,,,,,USA,N. CALIFORNIA
1923,11,2,21,8,11.5,3,1,7.1,0,-4.653,154.232,,2,,,,,,,,,,,PAPUA NEW GUINEA,BISMARCK SEA
1923,11,4,0,4,47.8,1,1,7.1,0,-4.539,153.107,,1,,,,,,,,,,,PAPUA NEW GUINEA,NEW BRITAIN
1923,,,,,,2,4,6.1,0,10.158,109.014,,2,,,,,,,,1,,,VIETNAM,OFF COAST OF CENTRAL VIETNAM
1924,3,15,10,31,24.1,0,1,6.8,0,49.179,142.436,,1,,,,,,,,,,,RUSSIA,TATAR STRAIT
1924,4,13,,,,-1,0,,0,,,,0,,,,,,,,,,,RUSSIA,TATAR STRAIT
1924,4,14,16,20,23,4,3,8.3,0,6.5,126.5,,3,,0.5,,,,,,3,,,PHILIPPINES,E. MINDANAO ISLAND
1924,4,16,,,,-1,0,,0,,,,0,,,,,,,,,,,RUSSIA,TATAR STRAIT
1924,5,6,16,9,20,4,3,6.5,0,16,118,,1,1,1.5,,,,,,1,,,PHILIPPINES,PHILIPPINES
1924,5,30,,,,-1,9,,0,,,5,3,2.3,2,,,,,,,,,USA,HAWAII
1924,6,2,,,,-1,1,,0,,,,0,5,,,,,,,,,,PHILIPPINES,W. LUZON ISLAND
1924,6,26,1,37,34,3,1,7.8,0,-56,157.5,,1,,,,,,,,,,,AUSTRALIA,MACQUARIE ISLAND
1924,7,19,,,,1,0,,1,-43.95,-176.567,,1,,1,,,,,,1,,,NEW ZEALAND,CHATHAM I.
1924,8,8,,,,1,0,,0,40.567,-73.983,4.6,1,,,,,,,,,,,USA,"CONEY ISLAND, NY"
1924,8,28,,,,1,1,,0,64.15,-21.95,,0,,,,,,,,,,,ICELAND,ICELAND: REYKJAVIK
1924,8,30,3,4,7,2,1,7.3,0,8.5,126.5,,2,,0.5,,,,,,2,,,PHILIPPINES,E. MINDANAO ISLAND
1925,1,8,,,,1,1,,0,-8,115,1,1,,0,,,,,,,,,INDONESIA,BANDA SEA
1925,2,23,23,53,36,3,3,6,0,60,-146,1.4,1,0.5,1,,,,,,1,,,USA,"GULF OF ALASKA, AK"
1925,5,4,17,25,,1,0,,0,14.583,-106.1,,1,,,,,,,,,,,MEXICO,MEXICO
1925,5,5,10,6,6,2,1,6.8,0,9.3,122.7,,1,,0.5,17,,,,,2,,,PHILIPPINES,W. LUZON ISLAND
1925,5,11,,,,-1,9,,0,,,,0,,,,,,,,,,,ITALY,CALABRIAN ARC
1925,5,15,11,56,57,2,1,7.1,0,-26,-71.5,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1925,5,25,3,43,6,2,1,6.3,0,12.2,122.1,,2,-0.5,0.5,,,,,,,,,PHILIPPINES,W. LUZON ISLAND
1925,10,4,16,,,4,9,,0,,,0.34,2,,-3.5,,,,,,,,,USA,CALIFORNIA
1925,11,13,12,14,45,2,1,7.3,0,13,125,,2,,0.5,,,,,,2,,,PHILIPPINES,PHILIPPINE SEA
1925,11,16,11,54,54,1,1,7,0,18.5,-107,11,1,3.5,3,,,,,,2,,,MEXICO,S. MEXICO
1925,11,25,,,,-1,1,,0,,,,0,,,,,,,,,,,PHILIPPINES,SULU SEA
1925,12,22,,,,1,9,,0,10,138,,1,,1.5,,,,,,3,,,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS
1926,1,9,,,,2,8,,0,44.233,-68.35,3,3,,,,,,,,,,,USA,"BERNARD, ME"
1926,1,25,0,36,25,3,1,7.5,0,-10.061,159.215,,1,,,,,,,,1,,,SOLOMON ISLANDS,SOLOMON SEA
1926,3,20,9,3,,1,1,,0,20.5,-155.5,1.5,1,0.6,,,,,,,,,,USA,HAWAII
1926,3,31,,,,-1,9,,0,,,,1,,2.5,1,,,,,2,,,COOK ISLANDS,COOK ISLANDS
1926,6,28,3,23,25,0,1,5.8,0,-0.7,100.6,,1,,,,,,,,2,,,INDONESIA,SW. SUMATRA
1926,7,30,,,,1,1,,0,49.21,-2.131,,0,,,,,,,,,,,UK,ENGLISH CHANNEL
1926,7,,,,,1,0,,0,35,128,,0,,1.5,,,,,,,,,SOUTH KOREA,S. OF KOREA
1926,8,17,1,42,,2,1,5.3,0,38.567,14.833,,0,,3,,,,,,,,,ITALY,AEOLIAN ISLANDS
1926,8,30,11,38,12,3,1,7.2,0,36.5,23.3,,0,,,,,,,,,,,GREECE,ARGOLIKOS GULF
1926,8,31,10,40,9.7,1,1,5.8,0,37.973,-28.59,0.3,1,,,9,,,200,,2,,,PORTUGAL,AZORES
1926,9,16,17,59,15,4,1,6.9,0,-9.674,159.519,2,3,1,1.5,,,,,,2,,,SOLOMON ISLANDS,SOLOMON ISLANDS
1926,12,9,,,,2,1,6,0,-28,-71,,3,0.6,0.5,,,,,,,,,CHILE,NORTHERN CHILE
1926,12,18,14,45,,2,3,,0,38.7,-9.2,,1,,,,,,,,2,,,PORTUGAL,PORTUGAL
1926,,,,,,2,0,,0,-38.37,178.31,6.35,1,,,,,,,,,,,NEW ZEALAND,"TOLAGA BAY, NORTH ISLAND"
1927,1,1,8,17,,1,9,5.7,0,32.5,-115.5,,1,,1,1,,,,3,2,,20,USA,S. CALIFORNIA
1927,1,24,5,18,22,2,1,5.1,0,59,3,,0,,,,,,,,,,,NORWAY,WESTERN NORWAY
1927,3,7,9,27,,4,3,7.6,0,35.6,135.1,11.3,17,0.4,0.5,3022,,,3295,,4,15594,9821,JAPAN,SW. HONSHU ISLAND
1927,6,26,11,20,48,4,1,6,0,44.4,34.4,0.7,0,-0.5,2,,,,,,2,,,UKRAINE,"CRIMEA, BLACK SEA"
1927,7,11,13,4,,2,1,6.3,1,32,35.5,1,0,,,268,,,,,3,,,ISRAEL,DEAD SEA
1927,8,5,21,13,1.1,4,1,6.9,0,37.9,142,0.1,5,-3.3,,,,,,,1,,,JAPAN,SANRIKU
1927,8,18,19,28,,4,1,6.4,0,34.2,142,0.4,2,-1.3,,,,,,,,,,JAPAN,"KASHIMA, JAPAN"
1927,9,6,,,,1,9,,0,17,-104,,3,,,,,,,,,,,MEXICO,MEXICO
1927,9,11,22,15,48,4,1,6.8,0,44.4,34.5,1,1,,2,11,,,122,,4,,,UKRAINE,"CRIMEA, BLACK SEA"
1927,10,12,8,31,0,2,8,,0,,,,1,,,,,,,,,,,USA,"SE. ALASKA, AK"
1927,10,24,15,59,44.8,3,3,7.1,0,57.69,-136.07,,9,,,,,,,,,,,USA,"SE. ALASKA, AK"
1927,11,4,13,50,43,4,1,7.3,0,34.813,-120.774,1.8,8,1,1,,,,,,2,,,USA,S. CALIFORNIA
1927,11,21,23,12,25,3,1,7.1,0,-44.6,-73,,1,1.5,2,,,,,,,,,CHILE,SOUTHERN CHILE
1927,12,1,4,37,27,3,1,6.3,0,-0.7,119.7,15,2,3.9,3,50,,,50,,3,,,INDONESIA,SULAWESI
1927,12,28,18,20,34.2,4,1,7.5,0,55.663,160.039,2,2,1,,,,,,,,,,RUSSIA,KAMCHATKA
1928,2,9,,,,2,1,5.8,0,49,-125,,1,,0,,,,,,,,,CANADA,BRITISH COLUMBIA
1928,3,22,4,17,,4,1,7.7,0,15.67,-96.1,,1,,,,,,,,,,,MEXICO,MEXICO
1928,3,26,,,,3,6,,1,-6.102,105.423,,0,,0,,,,,,,,,INDONESIA,KRAKATAU
1928,3,31,0,29,47,1,1,6.5,0,38.1,27.4,,1,,2,170,,,700,,4,2600,,GREECE,EAST AEGEAN
1928,3,31,,,,1,0,,0,-23.7,-70.4,,1,,2,,,,,,,,,CHILE,NORTHERN CHILE
1928,4,9,17,34,15,1,1,6.9,0,-13,-69.6,,1,,1,10,,,,,3,,,PERU,S. PERU
1928,4,22,20,13,46,3,1,6,0,38,23,0.6,7,1.1,3,20,,,,,4,3000,,GREECE,CORINTHOS-PATRAS GULF
1928,4,24,1,14,48,2,1,5,0,38,23.5,,0,,3,,,,,,,,,GREECE,AEGEAN SEA
1928,4,25,0,31,18,1,1,5.2,0,38,23,,0,,,,,,,,,,,GREECE,"GRECIAN ARCHIPELAGO, CRETE"
1928,4,27,20,34,58,0,1,6.8,0,-13,-69.5,,0,,,,,,,,,,,PERU,S. PERU
1928,4,27,,,,2,2,,0,,,0.6,1,,,,,,,,,,,GREECE,AEGEAN SEA
1928,5,2,21,54,32,1,1,6.2,0,39.6,29.1,,0,,,,,,,,,,,GREECE,NORTH AEGEAN
1928,5,3,1,25,13,2,1,4.3,0,40.8,26.8,,1,,2,,,,,,,,,TURKEY,WESTERN TURKEY
1928,5,18,,,,2,1,,0,-19.83,-174.36,,1,,0.5,,,,,,,,,TONGA,LIFUKA ISLAND
1928,5,27,9,50,0,4,1,7,0,40,143.2,0.45,8,-2.3,-2,,,,,,,,,JAPAN,SANRIKU
1928,5,30,,,,-1,0,,0,43.062,141.354,,0,,,,,,,,,,,JAPAN,SAPPORO
1928,6,15,6,12,36,3,1,7,0,12.4,120.9,,1,,0.5,,,,,,2,,,PHILIPPINES,SULU SEA
1928,6,17,3,19,33.1,4,1,7.7,0,16.028,-97.036,0.2,10,3,1,4,,,,,2,,,MEXICO,S. MEXICO
1928,7,18,19,5,,2,1,7,0,-5.5,-79,,0,,,,,,,,,,,PERU,N. PERU
1928,8,4,,,,4,7,,1,-8.32,121.708,10,2,3.3,3,226,,,200,,2,,,INDONESIA,FLORES SEA
1928,9,13,,,,-1,9,,0,,,,1,,,,,,,,,,,VENEZUELA,CARUPANO
1928,11,20,20,35,7,2,1,7.1,0,-22.5,-70.5,,0,,,,,,,,,,,CHILE,NORTHERN CHILE
1928,12,1,4,6,12,3,1,7.6,0,-35,-72,1.5,2,0.6,0.5,279,,,,,3,,,CHILE,CENTRAL CHILE
1928,12,19,11,37,10,3,1,7.3,0,7,124,,2,,1,97,,,102,,2,,,PHILIPPINES,CELEBES SEA
1928,,,,,,1,0,,0,48.967,-58,,0,,,,,,,,,,,CANADA,"CURLING, NEWFOUNDLAND"
1929,1,17,11,52,,4,1,6.9,0,10.6,-65.6,6,5,1,,50,,,800,,3,,,VENEZUELA,CUMANA
1929,3,7,1,34,37.9,4,1,7.8,0,50.88,-169.71,1,7,,,,,,,,1,,,USA,"FOX ISLANDS, ALEUTIAN ISLANDS, AK"
1929,5,21,16,35,,4,1,7.1,0,31.7,132.2,0.7,1,-0.5,,,,,,,,,,JAPAN,HIUGANADA
1929,5,26,22,39,54,3,1,7,0,51,-131,1.5,3,0.6,0,,,,,,1,,,CANADA,BRITISH COLUMBIA
1929,6,13,9,24,34,2,1,7.2,0,8.5,127,,4,,0.5,,,,,,2,,,PHILIPPINES,E. MINDANAO ISLAND
1929,6,16,22,47,32,2,3,7.5,0,-41.75,172.25,2.5,2,1.3,1.5,17,,,,,3,,,NEW ZEALAND,TASMAN SEA
1929,8,9,,,,2,9,,0,-23.7,-70.4,7.5,1,2,2.5,,,,,,,,,CHILE,NORTHERN CHILE
1929,8,12,11,24,0,0,1,,0,42.9,-78.3,,1,,,,,,,,,,,USA,"ATTICA, NEW YORK"
1929,11,9,,,,2,0,,0,4.633,95.567,,1,,,6,,,,,,,,INDONESIA,"TJALANG, N.W. SUMATRA"
1929,11,18,20,32,,4,3,7.3,10,44.69,-56,13,45,2.2,,28,,,,1,2,,,CANADA,"GRAND BANKS, NEWFOUNDLAND"
1930,1,3,,,,0,1,5.5,0,32.2,119.4,,1,,,,,,,,1,,,CHINA,JIANGSU PROVINCE
1930,2,16,,,,2,1,,0,36,-3,,1,,,,,,,,,,,SPAIN,OFF SOUTHERN COAST
1930,2,,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1930,3,4,18,3,,4,8,,0,32.617,-16.967,5,1,,,20,,,,,,,,PORTUGAL,MADEIRA ISLAND
1930,3,17,,,,1,6,,0,-6.102,105.423,500,0,,,,,,,,,,,INDONESIA,KRAKATAU
1930,5,2,,,,4,8,,0,63.317,9.85,,0,,3,,,,,,1,,,NORWAY,MID-NORWAY
1930,5,5,13,45,58,4,1,7.3,0,17.3,96.5,1.06,1,,,500,,,,,3,,,MYANMAR (BURMA),MYANMAR COAST
1930,6,19,13,7,27,3,1,6,0,-5.6,105.3,1.5,1,-0.5,,,,,,,,,,INDONESIA,SOUTH OF JAVA
